NO,등록번호,제호,기관명,종별,간별,발행인,편집인,인쇄소,유형,보급지역,상세지역,법인명,등록일,발행소명,발행소 우편번호,발행소 주소,발행소 전화번호
27475,아54781,지금바레소식,경기도,인터넷신문,인터넷신문,이선호,이선호,,개인,전국,,,2026-03-31,이선호(지금바레소식),13618,"경기 성남시 분당구 돌마로 75 (금곡동, 미금프라자), 405호",010-****-8699
27474,아54782,영화비평편지 여담,경기도,인터넷신문,인터넷신문,곽세림,박성하,,개인,전국,,,2026-03-31,곽세림(영화비평편지여담),16016,"경기 의왕시 백운중앙로 88 (학의동, 백운호수해링턴플레이스5단지), 507-1203",010-****-2701
27473,아02728,외국인신문,경상남도,인터넷신문,인터넷신문,김상효,김상효,,개인,전국,,,2026-03-31,김상효,52547,"경남 사천시 죽계1길 6 (죽림동, 사천 죽림 아리안아파트), 103동 701호",010-****-4708
27472,아56470,넥서스타임즈,서울특별시,인터넷신문,인터넷신문,남두현,남두현,,법인,전국,,주식회사 넥서큐빅,2026-03-31,주식회사 넥서큐빅,07257,"서울 영등포구 국회대로36길 6-1, 2층-제이540호 (당산동3가)",010-****-9204
27471,아56471,굿피플타임즈,서울특별시,인터넷신문,인터넷신문,손주성,홍석주,,법인,전국,,주식회사 서울소방,2026-03-31,주식회사 서울소방,01301,서울 도봉구 도봉로191길 88-10 (도봉동),-1544-5904
27470,라00639,델리킷매거진코리아,마포,잡지,월간,박재관,박재관,(주)한국교육문화,개인,전국,,,2026-03-30,박재관,03977,"서울 마포구 성미산로19길 5, 3층 44호(연남동, 로얄빌딩)",010-****-0039
27469,아54780,도래울 미디어,경기도,인터넷신문,인터넷신문,임혜정,임혜정,,개인,전국,,,2026-03-30,도래울 미디어(임혜정),10551,"경기 고양시 덕양구 도래울로 42 (도내동, 센트럴타워), 401, 402호",010-****-8290
27468,아00884,경안뉴스,경상북도,인터넷신문,인터넷신문,김영동,김영동,,개인,전국,,,2026-03-30,경안뉴스,36637,경북 안동시 하이마로 149 (옥동),010-****-5564
27467,아00548,아름다운요가신문,대구광역시,인터넷신문,인터넷신문,최달옥,최달옥,,개인,전국,,,2026-03-30,최달옥,42612,"대구 달서구 계대동문로 92, 306호 (이곡동, 한성코아)",010-****-2070
27466,아00549,대구경제뉴스,대구광역시,인터넷신문,인터넷신문,장호진,장호진,,개인,전국,,,2026-03-30,장호진,41921,"대구 중구 국채보상로 497, 1층 (서문로2가)",053-294-9139
27465,아56466,서울데일리,서울특별시,인터넷신문,인터넷신문,조희원,강연섭,,개인,전국,,,2026-03-30,조희원,03955,"서울 마포구 방울내로9안길 40, 101호 (망원동)",010-****-5223
27464,아56467,오토모빌,서울특별시,인터넷신문,인터넷신문,전진우,전진우,,법인,전국,,주식회사 프로젝트잇다,2026-03-30,주식회사 프로젝트잇다,08514,"서울 금천구 디지털로10길 9, 7층 지밸리테크 플랫폼 씨05호 (가산동, 현대시티아울렛 가산점)",02-1833-2743
27463,아56469,KRM NEWS,서울특별시,인터넷신문,인터넷신문,박지형,박지형,,개인,전국,,,2026-03-30,박지형,02478,"서울 동대문구 고산자로 505, 2층-S122호 (제기동)",0507-1303-9239
27462,아00586,전남지방자치신문,광주광역시,인터넷신문,인터넷신문,장용열,장용열,,개인,전국,,,2026-03-30,전남지방자치신문,61257,"광주광역시 북구 황계로55번길 11, 3동 1510호 (운암동, 삼호아파트)",010-****-5400
27461,라00070,로이슈&(앤),강북,잡지,월간,김봉근,김봉근,홍익사,개인,전국,,,2026-03-27,김봉근,01160,"서울 강북구 도봉로 150, 5층 503호 (미아동, 창림빌딩)",010-****-3034
27460,아54777,동심연심,경기도,인터넷신문,인터넷신문,김대용,최나라니라,,개인,전국,,,2026-03-27,동심연심(김대용),11330,"경기 동두천시 어수로101번길 35 (생연동), 4층",010-****-4742
27459,아54778,필라테스온 미디어,경기도,인터넷신문,인터넷신문,이현민,이현민,,개인,전국,,,2026-03-27,필라테스온 미디어(이현민),10403,"경기 고양시 일산동구 중앙로 1227 (장항동, 동양메이저빌오피스텔), 201호, 202호",010-****-2774
27458,아54779,KSN,경기도,인터넷신문,인터넷신문,허현,허현,,개인,전국,,,2026-03-27,KSN(허현),11772,"경기 의정부시 신곡동 776-3, 해피하우스 205호",010-****-0215
27457,아01968,인천매일신문,인천광역시,인터넷신문,인터넷신문,황중석,이아주,,법인,전국,,주식회사 인천매일신문,2026-03-27,주식회사 인천매일신문,22007,"인천 연수구 인천타워대로 323 (송도동, 송도 센트로드) 에이동 31층 3101호 - 에스 310호",-1688-7205
27456,아56463,한국고용신문,서울특별시,인터넷신문,인터넷신문,김우진,최시우,,법인,전국,,케이잡스 주식회사,2026-03-27,케이잡스 주식회사,04352,"서울 용산구 한강대로80길 11-49, 1층 2호 (남영동)",02-798-1209
27455,아01969,제노브랩스,인천광역시,인터넷신문,인터넷신문,이승현,이승현,,법인,전국,,주식회사 블라블라팩토리,2026-03-27,주식회사 블라블라팩토리,22006,"인천 연수구 센트럴로 263 (송도동, 송도국제업무단지 C8-2블럭 업무복합시설) 24층 2483호",010-****-1052
27454,아01970,케이 오토 뉴스,인천광역시,인터넷신문,인터넷신문,김서우,김서우,,개인,전국,,,2026-03-27,김서우,22007,"인천 연수구 인천타워대로 323 (송도동, 송도 센트로드) B동 30층 브이 504호",010-****-8659
27453,아56464,창업의시대,서울특별시,인터넷신문,인터넷신문,황주원,황주원,,개인,전국,,,2026-03-27,황주원,02006,"서울 중랑구 동일로 897, 7층 702-1호 (묵동, 블루포스)",010-****-1588
27452,아01971,바름핏필라테스 매거진,인천광역시,인터넷신문,인터넷신문,이원택,이원택,,개인,전국,,,2026-03-27,이원택,22221,"인천 미추홀구 소성로185번길 16-20 (학익동, 대승빌딩) 3층 일부(305호)",010-****-4442
27451,아01972,아로마교육미디어,인천광역시,인터넷신문,인터넷신문,김수진,김수진,,개인,전국,,,2026-03-27,김수진,21438,인천 부평구 십정동 514-8 1층,010-****-9383
27450,아56465,통일신문,서울특별시,인터넷신문,인터넷신문,장운영,장운영,,법인,전국,,(주)통일신문사,2026-03-27,(주)통일신문사,07238,"서울 영등포구 국회대로74길 20, 515호(여의도동, 맨하탄21리빙텔)",02-701-8347
27449,라01081,인정오름로24,제주특별자치도,기타간행물,월간,윤보철,장윤석,춘강인쇄사,단체,전국,,,2026-03-26,서귀포시장애인종합복지관,63580,"제주특별자치도 서귀포시 인정오름로 24 (토평동, 서귀포장애인종합복지관)",064-735-2600
27448,라00638,방송선교,마포,잡지,월간,김장환,맹주완,(주)금강문화,법인,전국,,(재)극동방송,2026-03-26,(재)극동방송,04067,서울 마포구 와우산로 56 (상수동),02-320-0114
27447,바00058,니하오 트래블(N!HAO TRAVEL),성남,잡지,계간,엄지희,엄지희,서광피앤씨,개인,전국,,,2026-03-26,엄지희,13487,"경기 성남시 분당구 대왕판교로645번길 12, 7층 5호 (삼평동, 경기창조경제혁신센터)",010-****-9110
27446,아00652,바이브타임즈,충청남도,인터넷신문,인터넷신문,류근웅,류근웅,,법인,전국,,주식회사 인스피리오,2026-03-26,주식회사 인스피리오,32583,"충남 공주시 매산동길 27 (신관동), 지하 1층",010-****-6644
27445,아56457,세계경제eTV,서울특별시,인터넷신문,인터넷신문,강승호,박상우,,법인,전국,,주식회사 세계경제티비,2026-03-26,주식회사 세계경제티비,07238,"서울 영등포구 국회대로 800, 229호 (여의도동, 여의도파라곤)",010-****-2000
27444,아56458,하나데일리,서울특별시,인터넷신문,인터넷신문,신상민,신상민,,개인,전국,,,2026-03-26,신상민,07798,"서울 강서구 마곡서1로 100, 615동 703호 (마곡동, 마곡엠밸리6단지)",02-1588-3698
27443,아56459,머니앤로,서울특별시,인터넷신문,인터넷신문,김상훈,최보람,,법인,전국,,주식회사 머니앤로,2026-03-26,주식회사 머니앤로,07327,"서울 영등포구 여의나루로 67, 606호 (여의도동, 신송빌딩)",070-8027-2886
27442,아56460,엘 포스트(L-Post),서울특별시,인터넷신문,인터넷신문,허지이,허지이,,법인,전국,,주식회사 리케이온컨설팅,2026-03-26,주식회사 리케이온컨설팅,06744,"서울 서초구 바우뫼로37길 30, 7층 (양재동, 위메스 빌딩)",02-2186-9142
27441,아56461,브이랩 애오개뉴스,서울특별시,인터넷신문,인터넷신문,엄주현,엄주현,,법인,전국,,주식회사 브이랩코퍼레이션,2026-03-26,주식회사 브이랩코퍼레이션,04129,"서울 마포구 마포대로 195, 상가4동 214호 (아현동, 마포래미안푸르지오)",010-****-5059
27440,아56462,J Side,서울특별시,인터넷신문,인터넷신문,김진만,강은영,,법인,전국,,(주)더스타미디어,2026-03-26,(주)더스타미디어,03147,"서울 종로구 삼일대로 469 (경운동, 서원빌딩), 12층",02-757-5625
27439,바00018,대구경북인터넷기자협회보,대구동,정보간행물,계간,강승탁,강승탁,오륜기획인쇄,단체,지역,,,2026-03-26,대구경북인터넷기자협회,41161,"대구 동구 화랑로 365 (방촌동), 미광빌딩 4층",053-243-8502
27438,아00682,베트남 인사이트,부산광역시,인터넷신문,인터넷신문,음덕준,음덕준,,개인,전국,,,2026-03-25,음덕준,48073,"부산 해운대구 송정광어골로82번길 85-11, 102동 302호(송정동, 해운대경보이리스 힐아파트)",010-****-0711
27437,아54774,케이물빛,경기도,인터넷신문,인터넷신문,황금빛,황금빛,,법인,전국,,(주)케이미라클,2026-03-25,(주)케이미라클,16953,"경기 용인시 기흥구 흥덕2로117번길 19 (영덕동), 501호",02-864-0861
27436,아54775,아크앤필라테스 미디어,경기도,인터넷신문,인터넷신문,조윤경,조윤경,,개인,지역,수원시,,2026-03-25,조윤경(아크앤필라테스),16334,"경기 수원시 장안구 대평로90번길 16 (정자동, 대일프라자) 603호",010-****-7485
27435,아54776,AMEET MEDIA(에이밋 미디어),경기도,인터넷신문,인터넷신문,정동성,정동성,,법인,전국,,리바랩스 주식회사,2026-03-25,리바랩스 주식회사,14048,"경기 안양시 동안구 시민대로 161 (비산동, 안양무역센터), 1704호",0507-1345-3831
27434,아00558,한국노인장애인신문,대전광역시,인터넷신문,인터넷신문,김춘두,김상덕,,법인,지역,"대전, 세종, 충청지역",사단법인 참사랑장애인협회,2026-03-25,사단법인 참사랑장애인협회,35203,대전 서구 둔산대로117번길 56 (만년동) 3층,042-222-5122
27433,아56452,킹덤인사이트,서울특별시,인터넷신문,인터넷신문,윤석준,윤석준,,법인,전국,,주식회사 킹덤인사이트,2026-03-25,주식회사 킹덤인사이트,07730,"서울 강서구 초록마을로32길 21-44, 402호 (화곡동, 꿈같은세상)",010-****-8177
27432,아56453,피플워치(people watch),서울특별시,인터넷신문,인터넷신문,이성재,조용만,,법인,전국,,주식회사 피플워치,2026-03-25,주식회사 피플워치,04522,"서울 중구 무교로 16, 506호 (무교동, 대한체육회 체육회관)",010-****-9464
27431,아56454,조향저널(perfumetimes),서울특별시,인터넷신문,인터넷신문,서인숙,서인숙,,개인,전국,,,2026-03-25,서인숙,07788,"서울 강서구 마곡중앙로 161-8, C동 203호 (마곡동, 두산더랜드파크)",0502-1949-0919
27430,아56455,코인딱,서울특별시,인터넷신문,인터넷신문,박민교,이동현,,법인,전국,,주식회사 마터스,2026-03-25,주식회사 마터스,04049,"서울 마포구 와우산로15길 29, 2층 (서교동)",070-8983-7696
27429,아56456,젊은신문 매일한국,서울특별시,인터넷신문,인터넷신문,한완수,한완수,,개인,전국,,,2026-03-25,한완수,04550,"서울 중구 을지로12길 28, 2층 R290호 (저동2가)",-1577-6485
27428,아00687,익산뷰티센터 매거진,전북특별자치도,인터넷신문,인터넷신문,강재은,강재은,,개인,전국,,,2026-03-24,익산뷰티센터 매거진,54639,"전북특별자치도 익산시 무왕로 1116, 3층",010-****-0107
27427,아00386,(주)디에스컨설팅_디에스비즈뉴스,충청북도,인터넷신문,인터넷신문,조민희,조민희,,법인,전국,,(주)디에스컨설팅_디에스비즈뉴스,2026-03-24,(주)디에스컨설팅_디에스비즈뉴스,28353,충북 청주시 청원구 밀레니엄2로 46 (오동동) 405호,010-****-1559
27426,아56449,월간 경제,서울특별시,인터넷신문,인터넷신문,황성익,전육표,,개인,전국,,,2026-03-24,황성익,02757,"서울 성북구 돌곶이로 220, 105-301 (장위동, 꿈의숲코오롱하늘채)",010-****-6334
27425,아56450,아이씨엔코리아,서울특별시,인터넷신문,인터넷신문,이시현,이시현,,법인,전국,,주식회사 아이씨엔코리아,2026-03-24,주식회사 아이씨엔코리아,06252,"서울 강남구 역삼로 112, 6층 (역삼동, 밀브리지홀)",02-3445-4278
27424,아56451,가꿈 광흥창뉴스,서울특별시,인터넷신문,인터넷신문,염소정,염소정,,법인,전국,,주식회사 가꿈필라테스,2026-03-24,주식회사 가꿈필라테스,04065,"서울 마포구 서강로 69, 3층 (창전동)",010-****-8482
27423,가00015,이상우 애널리스트의 부동산라이프,강남,정보간행물,일간,강지선,강지선,(주)신영씨엔피,개인,전국,,,2026-03-24,강지선,06221,"서울 강남구 언주로85길 14 (역삼동, 엠코스퀘어720), 908-A호",010-****-0411
27422,바00119,케이엠저널,강서,전자간행물,계간,최학현,최학현,,개인,전국,,,2026-03-24,최학현,07801,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",010-****-6173
27421,바00120,케이엠포스트,강서,전자간행물,계간,최학현,최학현,,개인,전국,,,2026-03-24,최학현,07801,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",010-****-6173
27420,마00132,PRAUDA(프라우다),서초,기타간행물,격월간,권호영,권호영,,개인,전국,,,2026-03-23,권호영,06767,"서울 서초구 양재대로2길 90 (우면동, 서초힐스) 206동 1302호",010-****-6629
27419,아00651,우리투데이,충청남도,인터넷신문,인터넷신문,나영철,나영철,,법인,전국,,우리투데이 주식회사,2026-03-23,우리투데이 주식회사,31099,"충남 천안시 서북구 두정동 645, 403호",010-****-1104
27418,아54770,플라잉요가산책 매거진,경기도,인터넷신문,인터넷신문,이규석,이규석,,개인,전국,,,2026-03-23,이규석(플라잉요가산책),17161,경기 용인시 처인구 양지읍 남곡로 27 (남곡리) 3층,010-****-8495
27417,아01163,필라테스클리닉매거진,울산광역시,인터넷신문,인터넷신문,이채아,이채아,,개인,전국,,,2026-03-23,이채아,44923,울산 울주군 범서읍 구영로 140 (구영리) 4층,010-****-5000
27416,아54771,중앙정론,경기도,인터넷신문,인터넷신문,박경원,박경원,,법인,전국,,씨엠아이 주식회사,2026-03-23,씨엠아이 주식회사,17015,"경기 용인시 기흥구 동백중앙로16번길 16-4 (중동, 에이스 동백 타워) 1-103호",031-8060-7780
27415,아02727,미래교육NEWS,경상남도,인터넷신문,인터넷신문,차재국,김용현,,개인,전국,,,2026-03-23,미래교육NEWS,51191,"경남 창원시 의창구 서상로11번길 9-2 (동정동), 1층",010-****-8883
27414,바00284,한우매거진 만들이,서초,정보간행물,계간,민경천,민경천,방형식디자인,개인,전국,,,2026-03-23,민경천,06641,"서울 서초구 서리풀3길 20-1 (서초동, KFIA) 3층",02-522-4292
27413,바00121,케이엠케어,강서,전자간행물,계간,최학현,최학현,,개인,전국,,,2026-03-23,최학현,07801,"서울 강서구 마곡중앙6로 21 528호(B01) (마곡동, 이너매스마곡Ⅰ)",010-****-6173
27412,라01087,월간 타이거,강남,잡지,월간,김선영,노규인,카피플러스,개인,전국,,,2026-03-20,김선영,06148,서울 강남구 테헤란로47길 17 (역삼동) 302-비29호,010-****-5474
27411,아56447,필라테스데이(남성역점),서울특별시,인터넷신문,인터넷신문,황정민,황정민,,개인,전국,,,2026-03-20,황정민,07009,"서울 동작구 사당로 200, 5, 6층(사당동, 사당동B상가)",02-2055-1680
27410,아02726,뉴스환경,경상남도,인터넷신문,인터넷신문,김혜선,김혜선,,법인,전국,,(주)에이원뉴스투데이,2026-03-20,(주)에이원뉴스투데이,52636,"경남 진주시 금산면 송백리 274-1, 274-5번지",010-****-8888
27409,마02861,오보이매거진,마포,기타간행물,격월간,곽수정,김현성,해당없음,개인,전국,,,2026-03-19,오보이,04074,"서울 마포구 독막로14길 26, 1,2층 (상수동)",02-324-9661
27408,아54767,포시즌뉴스,경기도,인터넷신문,인터넷신문,여인창,여인창,,개인,전국,,,2026-03-19,여인창(포시즌뉴스),13506,"경기 성남시 분당구 성남대로 934 (야탑동, 궁전프라자2) 2동 4층 404호",031-698-3365
27407,아54768,경기연합일보,경기도,인터넷신문,인터넷신문,손은주,손은주,,개인,전국,,,2026-03-19,손은주(경기연합),13179,"경기 성남시 중원구 자혜로8번길 45 (금광동, 에덴빌라) B02호",031-758-6655
27406,아56443,데일리크래프트(Daily Craft),서울특별시,인터넷신문,인터넷신문,유진아,유진아,,개인,전국,,,2026-03-19,유진아,02726,"서울 성북구 삼양로12길 7, 지하1층 유유소잉스튜디오 (길음동)",010-****-4268
27405,아56444,더요가위크,서울특별시,인터넷신문,인터넷신문,김은영,김은영,,개인,전국,,,2026-03-19,김은영,06518,"서울 서초구 잠원로8길 25, 322호, 323호(잠원동)",02-599-5533
27404,아56445,(주)동대문신문사,서울특별시,인터넷신문,인터넷신문,김대곤,김대곤,,법인,전국,,(주)동대문신문사,2026-03-19,(주)동대문신문사,02590,"서울 동대문구 천호대로 126, 502호 (용두동)",02-957-0114
27403,아56446,코리아피커(KoreaPicker),서울특별시,인터넷신문,인터넷신문,송인두,송인덕,,법인,전국,,주식회사 빅밸리,2026-03-19,주식회사 빅밸리,07631,"서울 강서구 마곡중앙4로 18, 비동 806호 (마곡동, 마곡그랑트윈타워)",010-****-9822
27402,아54769,리얼에셋타임즈,경기도,인터넷신문,인터넷신문,한동혁,김천희,,법인,전국,,주식회사 리얼에셋타임즈,2026-03-19,주식회사 리얼에셋타임즈,12284,"경기 남양주시 경춘로 490 (다산동), 1동 8105호",010-****-8012
27401,아00585,더리더스,광주광역시,인터넷신문,인터넷신문,조경완,조경완,,법인,전국,,주식회사 더리더스,2026-03-19,주식회사 더리더스,61011,"광주 북구 첨단과기로208번길 43-20 (오룡동, 금강기건연구소)",062-975-1390
27400,사00070,Neuropsyche T,영등포,기타간행물,연2회간,박혁준,나현윤,해당없음,개인,전국,,,2026-03-18,박혁준,07345,"서울 영등포구 63로 32, 915호(여의도동, 콤비빌딩)",02-761-0710
27399,사00107,페이퍼스카이 코리아(PAPERSKY Korea),강서,잡지,연2회간,장아라,장아라,주식회사 금비피앤비,개인,전국,,,2026-03-18,장아라(글자의 지도),07635,"서울 강서구 강서로47길 165, 9층 901-S12호 (내발산동, 신원메디칼프라자)",010-****-9632
27398,아00681,호호필라테스 평생교육 매거진,부산광역시,인터넷신문,인터넷신문,정윤학,정윤학,,개인,전국,,,2026-03-18,정윤학,48107,"부산 해운대구 좌동로 104, 6층(좌동)",051-703-6039
27397,아54766,유에르필라테스 매거진,경기도,인터넷신문,인터넷신문,정지교,정지교,,개인,전국,,,2026-03-18,정지교(유에르필라테스),14548,"경기 부천시 원미구 소향로 223 (중동, 굿모닝위너스텔3차) 201호, 202호 일부",010-****-4129
27396,아56435,데일리하우징,서울특별시,인터넷신문,인터넷신문,김지영,김지영,,법인,전국,,오더포인트 유한회사,2026-03-18,오더포인트 유한회사,06235,"서울 강남구 테헤란로20길 16, 11층 (역삼동, 금정빌딩)",010-****-9910
27395,아56436,브로우매거진,서울특별시,인터넷신문,인터넷신문,김재형,김재형,,법인,전국,,주식회사 톡스앤필브로우강남눈썹반영구두피문신강남본점,2026-03-18,주식회사 톡스앤필브로우강남눈썹반영구두피문신강남본점,06612,"서울 서초구 서초대로77길 39, 지하1층 (서초동, MK빌딩)",010-****-3200
27394,아56437,마곡성인영어회화채터박스 매거진,서울특별시,인터넷신문,인터넷신문,김나래,김나래,,개인,전국,,,2026-03-18,김나래,07803,"서울 강서구 강서로 391, 405호(마곡동, 문영비즈웍스)",02-2039-1321
27393,아56438,주거정비신문,서울특별시,인터넷신문,인터넷신문,문채형,문채형,,개인,전국,,,2026-03-18,문채형,05051,"서울 광진구 아차산로 378, 3층 A342호(자양동, 한승빌딩)",010-****-8785
27392,아56439,미디어테크 뉴스,서울특별시,인터넷신문,인터넷신문,김욱,김욱,,법인,전국,,주식회사 제타미디어,2026-03-18,주식회사 제타미디어,06667,"서울 서초구 명달로 65, 7층(서초동, 일흥스포렉스)",02-582-0998
27391,아00650,충남복지케어뉴스,충청남도,인터넷신문,인터넷신문,이윤정,이윤정,,개인,전국,,,2026-03-18,이윤정,31520,"충남 아산시 삼동로 27 (온천동), 2층",041-546-3542
27390,아56440,디졸브매거진,서울특별시,인터넷신문,인터넷신문,김현승,김현승,,개인,전국,,,2026-03-18,김현승,02045,"서울 중랑구 동일로152길 26-21, 201호(묵동, 대성그린)",010-****-1891
27389,아56441,라이프톡,서울특별시,인터넷신문,인터넷신문,서재필,서재필,,법인,전국,,주식회사 브릿지엠미디어,2026-03-18,주식회사 브릿지엠미디어,08378,"서울 구로구 디지털로34길 43, 610호 (구로동, 코오롱싸이언스밸리1차)",010-****-0814
