연번,방송사명,방송국명,유형,우편번호,주소,전화,팩스
27,(재)극동방송,극동 부산FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
28,(재)극동방송,극동 대구FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
29,(재)극동방송,극동 광주FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
30,(재)극동방송,극동 여수FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
31,(재)극동방송,극동 제주표준FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
32,(재)극동방송,극동 전북FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
33,(재)글로벌광주방송재단,글로벌광주 FM방송국,FM 방송용,61640,광주광역시 남구 사동 177-39번지,062-460-0952,062-461-0987
34,(재)기독교방송,CBS AM방송국,중파방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
35,(재)기독교방송,CBS 청주FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
36,(재)기독교방송,CBS 춘천FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
37,(재)기독교방송,CBS FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
38,(재)기독교방송,CBS 표준FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
39,(재)기독교방송,CBS 대전FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
40,(재)기독교방송,CBS 부산제1FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
41,(재)기독교방송,CBS 대구제1FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
42,(재)기독교방송,CBS 광주제1FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
43,(재)기독교방송,CBS 강릉FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
44,(재)기독교방송,CBS 제주FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
45,(재)기독교방송,CBS 마산FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
46,(재)기독교방송,CBS 포항FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
47,(재)기독교방송,CBS 전주FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
48,(재)기독교방송,CBS 순천FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
49,(재)기독교방송,CBS 울산FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
50,(재)기독교방송,CBS 부산제2FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
51,(재)기독교방송,CBS 대구제2FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
52,(재)기독교방송,CBS 광주제2FM방송국,FM 방송용,07997,서울특별시 양천구 목동 917-1번지,02-2650-7351,02-2650-7377
53,(재)불교방송,불교 FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
54,(재)불교방송,불교 부산FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
55,(재)불교방송,불교 광주FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
56,(재)불교방송,불교 대구FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
57,(재)불교방송,불교 청주FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
58,(재)불교방송,불교 춘천FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
59,(재)불교방송,불교 울산FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
60,(재)불교방송,불교 제주FM방송국,FM 방송용,04175,서울특별시 마포구 마포동 140번지 다보빌딩,02-705-5311,02-705-5351
61,(재)원음방송,원음 익산FM방송국,FM 방송용,08536,서울특별시 금천구 독산동 953-1번지 WBS원음방송,02-2102-7700,02-2102-7722
62,(재)원음방송,원음 부산FM방송국,FM 방송용,08536,서울특별시 금천구 독산동 953-1번지 WBS원음방송,02-2102-7700,02-2102-7722
63,(재)원음방송,원음 서울FM방송국,FM 방송용,08536,서울특별시 금천구 독산동 953-1번지 WBS원음방송,02-2102-7700,02-2102-7722
64,(재)원음방송,원음 광주FM방송국,FM 방송용,08536,서울특별시 금천구 독산동 953-1번지 WBS원음방송,02-2102-7700,02-2102-7722
65,(재)원음방송,원음 대구FM방송국,FM 방송용,08536,서울특별시 금천구 독산동 953-1번지 WBS원음방송,02-2102-7700,02-2102-7722
66,(주)YTN 라디오,YTN FM방송국,FM 방송용,03926,서울특별시 마포구 상암동 1607번지 YTN뉴스퀘어,02-398-8761,02-398-8599
67,(주)경인방송,경인 FM방송국,FM 방송용,22196,인천광역시 남구 학익동 587-46번지,032-830-0710,032-830-1919
68,(주)광주방송,KBC FM방송국,FM 방송용,61915,광주광역시 서구 광천동 896번지 호반서밋광주,062-650-3253,062-653-3329
69,(주)광주방송,KBC DTV방송국,TV 방송용,61915,광주광역시 서구 광천동 896번지 호반서밋광주,062-650-3253,062-653-3329
70,(주)광주방송,KBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,61915,광주광역시 서구 광천동 896번지 호반서밋광주,062-650-3253,062-653-3329
71,(주)광주방송,KBC UHDTV방송국,TV 방송용,61915,광주광역시 서구 광천동 896번지 호반서밋광주,062-650-3253,062-653-3329
72,(주)대전방송,TJB FM방송국,FM 방송용,34125,대전광역시 유성구 도룡동 4-18번지,042-281-1313,042-285-5811
73,(주)대전방송,TJB DTV방송국,TV 방송용,34125,대전광역시 유성구 도룡동 4-18번지,042-281-1313,042-285-5811
74,(주)대전방송,TJB지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,34125,대전광역시 유성구 도룡동 4-18번지,042-281-1313,042-285-5811
75,(주)대전방송,TJBUHDTV방송국,TV 방송용,34125,대전광역시 유성구 도룡동 4-18번지,042-281-1313,042-285-5811
76,(주)문화방송,MBC제2FM방송국,FM 방송용,03925,서울특별시 마포구 상암동 1603번지 문화방송,02-789-3516,02-782-0294
77,(주)문화방송,MBC제1FM방송국,FM 방송용,03925,서울특별시 마포구 상암동 1603번지 문화방송,02-789-3516,02-782-0294
78,(주)문화방송,MBC DTV방송국,TV 방송용,03925,서울특별시 마포구 상암동 1603번지 문화방송,02-789-3516,02-782-0294
79,(주)문화방송,한국문화지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,03925,서울특별시 마포구 상암동 1603번지 문화방송,02-789-3516,02-782-0294
80,(주)문화방송,MBC UHDTV방송국,TV 방송용,03925,서울특별시 마포구 상암동 1603번지 문화방송,02-789-3516,02-782-0294
81,(주)에스비에스,SBS제2FM방송국,FM 방송용,07996,서울특별시 양천구 목동 920번지 SBS방송센터,02-2061-0006,
82,(주)에스비에스,SBS제1FM방송국,FM 방송용,07996,서울특별시 양천구 목동 920번지 SBS방송센터,02-2061-0006,
83,(주)에스비에스,SBS DTV방송국,TV 방송용,07996,서울특별시 양천구 목동 920번지 SBS방송센터,02-2061-0006,
84,(주)에스비에스,SBS지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,07996,서울특별시 양천구 목동 920번지 SBS방송센터,02-2061-0006,
85,(주)에스비에스,SBS UHDTV방송국,TV 방송용,07996,서울특별시 양천구 목동 920번지 SBS방송센터,02-2061-0006,
86,(주)엠비씨강원영동,MBC강원영동 강릉AM방송국,중파방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
87,(주)엠비씨강원영동,MBC강원영동 강릉FM방송국,FM 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
88,(주)엠비씨강원영동,MBC강원영동 삼척제2FM방송국,FM 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
89,(주)엠비씨강원영동,MBC강원영동 삼척제1FM방송국,FM 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
90,(주)엠비씨강원영동,MBC강원영동 강릉표준FM방송국,FM 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
91,(주)엠비씨강원영동,MBC강원영동 강릉DTV방송국,TV 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
92,(주)엠비씨강원영동,MBC강원영동 삼척DTV방송국,TV 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
93,(주)엠비씨강원영동,MBC강원영동 UHDTV방송국,TV 방송용,25477,강원특별자치도 강릉시 포남동 1091-6번지 MBC강원영동,033-650-2244,
94,(주)엠비씨경남,MBC경남창원제2FM방송국,FM 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
95,(주)엠비씨경남,MBC경남진주제2FM방송국,FM 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
96,(주)엠비씨경남,MBC경남진주제1FM방송국,FM 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
97,(주)엠비씨경남,MBC경남창원제1FM방송국,FM 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
98,(주)엠비씨경남,MBC경남창원DTV방송국,TV 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
99,(주)엠비씨경남,MBC경남진주DTV방송국,TV 방송용,51322,경상남도 창원시 마산회원구 양덕동 525-1번지 MBC경남,055-250-5028,055-250-5049
100,(주)엠비씨충북,MBC충북 청주제2FM방송국,FM 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
101,(주)엠비씨충북,MBC충북 충주제2FM방송국,FM 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
102,(주)엠비씨충북,MBC충북 충주제1FM방송국,FM 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
103,(주)엠비씨충북,MBC충북 청주제1FM방송국,FM 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
104,(주)엠비씨충북,MBC충북 청주DTV방송국,TV 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
105,(주)엠비씨충북,MBC충북 충주DTV방송국,TV 방송용,27480,충청북도 충주시 호암동 680번지 MBC충북,043-841-8126,
106,(주)와이티엔디엠비,YTNDMB지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,03926,서울특별시 마포구 상암동 1607번지 YTN뉴스퀘어,02-2160-7120,
107,(주)울산방송,UBC FM방송국,FM 방송용,44520,울산광역시 중구 학산동 47-20번지 UBC울산방송,,
108,(주)울산방송,UBC DTV방송국,TV 방송용,44520,울산광역시 중구 학산동 47-20번지 UBC울산방송,,
109,(주)울산방송,UBC UHDTV방송국,TV 방송용,44520,울산광역시 중구 학산동 47-20번지 UBC울산방송,,
110,(주)전주방송,JTV FM방송국,FM 방송용,54859,전북특별자치도 전주시 덕진구 만성동 289-1번지 JTV전주방송,,
111,(주)전주방송,JTV DTV방송국,TV 방송용,54859,전북특별자치도 전주시 덕진구 만성동 289-1번지 JTV전주방송,,
112,(주)제주방송,JIBS FM방송국,FM 방송용,63148,제주특별자치도 제주시 오라삼동 2750번지,064-740-7800,064-740-7879
113,(주)제주방송,JIBS DTV방송국,TV 방송용,63148,제주특별자치도 제주시 오라삼동 2750번지,064-740-7800,064-740-7879
114,(주)제주방송,JIBS 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,63148,제주특별자치도 제주시 오라삼동 2750번지,064-740-7800,064-740-7879
115,(주)지원방송,G1 FM방송국,FM 방송용,24210,강원특별자치도 춘천시 동면 장학리 635번지,033-248-5402,
116,(주)지원방송,G1 DTV방송국,TV 방송용,24210,강원특별자치도 춘천시 동면 장학리 635번지,033-248-5402,
117,(주)지원방송,G1 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,24210,강원특별자치도 춘천시 동면 장학리 635번지,033-248-5402,
118,(주)지원방송,G1 UHDTV방송국,TV 방송용,24210,강원특별자치도 춘천시 동면 장학리 635번지,033-248-5402,
119,(주)청주방송,CJB FM방송국,FM 방송용,28654,충청북도 청주시 서원구 사직동 12-16번지 CJB청주방송,043-279-3989,
120,(주)청주방송,CJB DTV방송국,TV 방송용,28654,충청북도 청주시 서원구 사직동 12-16번지 CJB청주방송,043-279-3989,
121,(주)케이엔엔,KNN FM방송국,FM 방송용,48058,(48058) 부산광역시 해운대구 우동 1468번지 KNN타워,051-850-9522,
122,(주)케이엔엔,KNN DTV방송국,TV 방송용,48058,(48058) 부산광역시 해운대구 우동 1468번지 KNN타워,051-850-9522,
123,(주)케이엔엔,KNN지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,48058,(48058) 부산광역시 해운대구 우동 1468번지 KNN타워,051-850-9522,
124,(주)케이엔엔,KNN 제2FM 방송국,FM 방송용,48058,(48058) 부산광역시 해운대구 우동 1468번지 KNN타워,051-850-9522,
125,(주)케이엔엔,KNNUHDTV방송국,TV 방송용,48058,(48058) 부산광역시 해운대구 우동 1468번지 KNN타워,051-850-9522,
126,(주)티비씨,TBC FM방송국,FM 방송용,42175,대구광역시 수성구 두산동 201-9번지 TBC,053-760-2222,
127,(주)티비씨,TBC DTV방송국,TV 방송용,42175,대구광역시 수성구 두산동 201-9번지 TBC,053-760-2222,
128,(주)티비씨,TBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,42175,대구광역시 수성구 두산동 201-9번지 TBC,053-760-2222,
129,(주)티비씨,TBC UHDTV방송국,TV 방송용,42175,대구광역시 수성구 두산동 201-9번지 TBC,053-760-2222,
130,광주문화방송(주),광주MBC AM방송국,중파방송용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
131,광주문화방송(주),광주MBC FM방송국,FM 방송용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
132,광주문화방송(주),광주MBC 표준FM방송국,FM 방송용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
133,광주문화방송(주),광주MBC DTV방송국,TV 방송용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
134,광주문화방송(주),광주MBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
135,광주문화방송(주),광주MBC UHDTV방송국,TV 방송용,61629,광주광역시 남구 월산동 300-10번지 MBC방송국,062-360-2412,062-360-2419
136,국악방송,국악FM방송국,FM 방송용,03925,서울특별시 마포구 상암동 1602번지 DMS빌딩 10층,02-6393-5257,02-300-9959
137,국악방송,국악 광주FM방송국,FM 방송용,03925,서울특별시 마포구 상암동 1602번지 DMS빌딩 10층,02-6393-5257,02-300-9959
138,국악방송,국악 대전FM방송국,FM 방송용,03925,서울특별시 마포구 상암동 1602번지 DMS빌딩 10층,02-6393-5257,02-300-9959
139,대구문화방송(주),대구MBC 제2FM방송국,FM 방송용,42288,대구광역시 수성구 욱수동 451-1번지,,
140,대구문화방송(주),대구MBC 제1FM방송국,FM 방송용,42288,대구광역시 수성구 욱수동 451-1번지,,
141,대구문화방송(주),대구MBC DTV방송국,TV 방송용,42288,대구광역시 수성구 욱수동 451-1번지,,
142,대구문화방송(주),대구MBC UHDTV방송국,TV 방송용,42288,대구광역시 수성구 욱수동 451-1번지,,
143,대전문화방송(주),대전MBC제2FM방송국,FM 방송용,34125,대전광역시 유성구 도룡동 4-5번지 MBC대전문화방송국,042-330-3114,
144,대전문화방송(주),대전MBC제1FM방송국,FM 방송용,34125,대전광역시 유성구 도룡동 4-5번지 MBC대전문화방송국,042-330-3114,
145,대전문화방송(주),대전MBC DTV방송국,TV 방송용,34125,대전광역시 유성구 도룡동 4-5번지 MBC대전문화방송국,042-330-3114,
146,대전문화방송(주),대전MBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,34125,대전광역시 유성구 도룡동 4-5번지 MBC대전문화방송국,042-330-3114,
147,대전문화방송(주),대전MBCUHDTV방송국,TV 방송용,34125,대전광역시 유성구 도룡동 4-5번지 MBC대전문화방송국,042-330-3114,
148,목포문화방송(주),목포MBC 제2FM방송국,FM 방송용,58723,전라남도 목포시 명륜동 5-1번지,061-270-9310,061-270-9323
149,목포문화방송(주),목포MBC 제1FM방송국,FM 방송용,58723,전라남도 목포시 명륜동 5-1번지,061-270-9310,061-270-9323
150,목포문화방송(주),목포MBC DTV방송국,TV 방송용,58723,전라남도 목포시 명륜동 5-1번지,061-270-9310,061-270-9323
151,부산문화방송(주),부산MBC제2FM방송국,FM 방송용,48743,부산광역시 동구 범일동 830-30번지 부산문화방송범일사옥,051-760-1014,
152,부산문화방송(주),부산MBC제1FM방송국,FM 방송용,48743,부산광역시 동구 범일동 830-30번지 부산문화방송범일사옥,051-760-1014,
153,부산문화방송(주),부산MBC DTV방송국,TV 방송용,48743,부산광역시 동구 범일동 830-30번지 부산문화방송범일사옥,051-760-1014,
154,부산문화방송(주),부산MBC지상파 DMB방송국,지상파 디지털멀티미디어방송(DMB)용,48743,부산광역시 동구 범일동 830-30번지 부산문화방송범일사옥,051-760-1014,
155,부산문화방송(주),부산MBCUHDTV방송국,TV 방송용,48743,부산광역시 동구 범일동 830-30번지 부산문화방송범일사옥,051-760-1014,
156,사단법인 고구리에프엠,구리FM공동체라디오,FM 방송용,11928,경기도 구리시 수택동 417번지,,
157,사단법인 남해에프엠공동체라디오방송,남해FM공동체라디오,FM 방송용,52420,경상남도 남해군 남해읍 북변리 246-14번지 남해반점,055-862-1588,055-862-1588
158,사단법인 세종공동체라디오방송,세종FM공동체라디오,FM 방송용,30147,세종특별자치시 반곡동 308번지 알파타워 311호,,050-454-58555
159,사단법인 순천미디어네트워크,순천FM공동체라디오,FM 방송용,57962,전라남도 순천시 풍덕동 879-12번지,,061-811-0216
160,사단법인 영월에프엠공동체라디오,영월FM공동체라디오,FM 방송용,26222,강원특별자치도 영월군 영월읍 거운리 529-8번지 거운초등학교,,
161,사단법인 전주공동체라디오,덕진FM공동체라디오,FM 방송용,54908,전라북도 전주시 덕진구 우아동3가 746-35번지 4층,,063-282-7940
162,사단법인 한밭생활문화방송,대전서구FM공동체라디오,FM 방송용,35338,대전광역시 서구 도마동 349-8번지 2층,,050-4344-0994
163,수원마을공동체미디어사회적협동조합,팔달FM공동체라디오,FM 방송용,16461,경기도 수원시 팔달구 매산로2가 80-4번지 2층,031-226-9222,
164,안동문화방송(주),안동MBC 제2FM방송국,FM 방송용,36645,경상북도 안동시 태화동 709-1번지,,
165,안동문화방송(주),안동MBC 제1FM방송국,FM 방송용,36645,경상북도 안동시 태화동 709-1번지,,
166,안동문화방송(주),안동MBC DTV방송국,TV 방송용,36645,경상북도 안동시 태화동 709-1번지,,
167,안동문화방송(주),안동MBC 지상파DMB방송국,지상파 디지털멀티미디어방송(DMB)용,36645,경상북도 안동시 태화동 709-1번지,,
168,여수문화방송(주),여수MBC 제2FM방송국,FM 방송용,59700,전라남도 여수시 문수동 101-1번지 여수문화방송,061-650-3366,
169,여수문화방송(주),여수MBC 제1FM방송국,FM 방송용,59700,전라남도 여수시 문수동 101-1번지 여수문화방송,061-650-3366,
170,여수문화방송(주),여수MBC DTV방송국,TV 방송용,59700,전라남도 여수시 문수동 101-1번지 여수문화방송,061-650-3366,
171,연제공동체라디오 사회적협동조합,연제FM공동체라디오,FM 방송용,47589,부산광역시 연제구 연산동 2145-22번지 2층,,
172,오비에스경인티브이(주),OBS경인DTV방송국,TV 방송용,14442,경기도 부천시 오정동 202-6번지 OBS경인TV,032-670-5216,
173,오비에스경인티브이(주),OBS경인FM방송국,FM 방송용,14442,경기도 부천시 오정동 202-6번지 OBS경인TV,032-670-5216,
174,와글사회적협동조합,대구동구FM공동체라디오,FM 방송용,41112,대구광역시 동구 동호동 106-54번지 4층,,
175,울산문화방송(주),울산MBC 제2FM방송국,FM 방송용,44512,울산광역시 중구 학성동 409-1번지 울산문화방송 409동 1호,052-290-1219,
176,울산문화방송(주),울산MBC 제1FM방송국,FM 방송용,44512,울산광역시 중구 학성동 409-1번지 울산문화방송 409동 1호,052-290-1219,
177,울산문화방송(주),울산MBC DTV방송국,TV 방송용,44512,울산광역시 중구 학성동 409-1번지 울산문화방송 409동 1호,052-290-1219,
178,울산문화방송(주),울산MBC UHDTV방송국,TV 방송용,44512,울산광역시 중구 학성동 409-1번지 울산문화방송 409동 1호,052-290-1219,
179,원주문화방송(주),원주MBC 제2FM방송국,FM 방송용,26412,강원특별자치도 원주시 학성동 1023-70번지 원주MBC,033-741-8366,033-741-8380
180,원주문화방송(주),원주MBC 제1FM방송국,FM 방송용,26412,강원특별자치도 원주시 학성동 1023-70번지 원주MBC,033-741-8366,033-741-8380
181,원주문화방송(주),원주MBC DTV방송국,TV 방송용,26412,강원특별자치도 원주시 학성동 1023-70번지 원주MBC,033-741-8366,033-741-8380
182,원주문화방송(주),원주MBC UHDTV방송국,TV 방송용,26412,강원특별자치도 원주시 학성동 1023-70번지 원주MBC,033-741-8366,033-741-8380
183,재단법인 부산광역시 글로벌 도시재단,부산영어 FM방송국,FM 방송용,47606,부산광역시 연제구 연산동 1422-8번지 국민연금공단부산회관빌딩 13층,051-663-0054,
184,재단법인 서울특별시미디어재단 티비에스,교통FM방송국,FM 방송용,03909,서울특별시 마포구 상암동 1648번지,02-311-5122,
185,재단법인 서울특별시미디어재단 티비에스,영어FM방송국,FM 방송용,03909,서울특별시 마포구 상암동 1648번지,02-311-5122,
186,전주문화방송(주),전주MBC AM방송국,중파방송용,54986,전북특별자치도 전주시 완산구 중화산동2가 151-9번지 전주문화방송,065-2220-8011,
187,전주문화방송(주),전주MBC FM방송국,FM 방송용,54986,전북특별자치도 전주시 완산구 중화산동2가 151-9번지 전주문화방송,065-2220-8011,
188,전주문화방송(주),전주MBC 표준FM방송국,FM 방송용,54986,전북특별자치도 전주시 완산구 중화산동2가 151-9번지 전주문화방송,065-2220-8011,
189,전주문화방송(주),전주MBC DTV방송국,TV 방송용,54986,전북특별자치도 전주시 완산구 중화산동2가 151-9번지 전주문화방송,065-2220-8011,
190,제주문화방송(주),제주MBC 제2FM방송국,FM 방송용,63120,제주특별자치도 제주시 연동 321-22번지,064-740-2621,064-744-6646
191,제주문화방송(주),제주MBC 제1FM방송국,FM 방송용,63120,제주특별자치도 제주시 연동 321-22번지,064-740-2621,064-744-6646
192,제주문화방송(주),제주MBC DTV방송국,TV 방송용,63120,제주특별자치도 제주시 연동 321-22번지,064-740-2621,064-744-6646
